timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1503756254669,127,HTTP Request,200,,Thread Group 1-717,text,true,,39241,197,232,232,127,0,1
1503756254701,95,HTTP Request,200,,Thread Group 1-767,text,true,,39241,197,232,232,94,0,1
1503756254664,132,HTTP Request,200,,Thread Group 1-769,text,true,,39241,197,231,231,132,0,1
1503756254699,98,HTTP Request,200,,Thread Group 1-839,text,true,,39241,197,231,231,98,0,0
1503756254700,97,HTTP Request,200,,Thread Group 1-841,text,true,,39241,197,229,229,97,0,1
1503756254647,154,HTTP Request,200,,Thread Group 1-802,text,true,,39241,197,228,228,154,0,1
1503756254678,125,HTTP Request,200,,Thread Group 1-825,text,true,,39241,197,227,227,125,0,0
1503756254668,137,HTTP Request,200,,Thread Group 1-708,text,true,,39241,197,228,228,137,0,0
1503756254689,117,HTTP Request,200,,Thread Group 1-832,text,true,,39241,197,228,228,117,0,1
1503756254677,130,HTTP Request,200,,Thread Group 1-820,text,true,,39241,197,227,227,130,0,1
1503756254699,108,HTTP Request,200,,Thread Group 1-768,text,true,,39241,197,226,226,108,0,1
1503756254700,108,HTTP Request,200,,Thread Group 1-712,text,true,,39241,197,225,225,107,0,1
1503756254685,123,HTTP Request,200,,Thread Group 1-828,text,true,,39241,197,225,225,123,0,1
1503756254694,119,HTTP Request,200,,Thread Group 1-836,text,true,,39241,197,228,228,118,0,1
1503756254701,113,HTTP Request,200,,Thread Group 1-840,text,true,,39241,197,228,228,112,0,1
1503756254844,34,HTTP Request,200,,Thread Group 1-736,text,true,,39241,197,265,265,33,0,1
1503756254774,107,HTTP Request,200,,Thread Group 1-860,text,true,,39241,197,264,264,106,0,32
1503756254725,158,HTTP Request,200,,Thread Group 1-848,text,true,,39241,197,265,265,158,0,1
1503756254805,82,HTTP Request,200,,Thread Group 1-726,text,true,,39241,197,265,265,82,0,0
1503756254808,81,HTTP Request,200,,Thread Group 1-724,text,true,,39241,197,264,264,80,0,1
1503756254771,120,HTTP Request,200,,Thread Group 1-856,text,true,,39241,197,264,264,119,0,1
1503756254810,84,HTTP Request,200,,Thread Group 1-728,text,true,,39241,197,263,263,84,0,1
1503756254741,155,HTTP Request,200,,Thread Group 1-722,text,true,,39241,197,262,262,154,0,1
1503756254812,84,HTTP Request,200,,Thread Group 1-731,text,true,,39241,197,262,262,83,0,0
1503756254742,155,HTTP Request,200,,Thread Group 1-723,text,true,,39241,197,261,261,155,0,0
1503756254814,85,HTTP Request,200,,Thread Group 1-729,text,true,,39241,197,260,260,84,0,1
1503756254819,84,HTTP Request,200,,Thread Group 1-735,text,true,,39241,197,260,260,83,0,1
1503756254817,86,HTTP Request,200,,Thread Group 1-734,text,true,,39241,197,260,260,85,0,1
1503756254816,87,HTTP Request,200,,Thread Group 1-730,text,true,,39241,197,259,259,87,0,1
1503756254821,84,HTTP Request,200,,Thread Group 1-763,text,true,,39241,197,259,259,83,0,1
1503756254662,249,HTTP Request,200,,Thread Group 1-811,text,true,,39241,197,258,258,249,0,1
1503756254825,88,HTTP Request,200,,Thread Group 1-743,text,true,,39241,197,257,257,88,0,1
1503756254825,89,HTTP Request,200,,Thread Group 1-845,text,true,,39241,197,257,257,89,0,1
1503756254813,102,HTTP Request,200,,Thread Group 1-725,text,true,,39241,197,256,256,102,0,1
1503756254822,93,HTTP Request,200,,Thread Group 1-739,text,true,,39241,197,256,256,93,0,1
1503756254829,87,HTTP Request,200,,Thread Group 1-849,text,true,,39241,197,255,255,87,0,1
1503756254818,100,HTTP Request,200,,Thread Group 1-764,text,true,,39241,197,255,255,100,0,1
1503756254741,180,HTTP Request,200,,Thread Group 1-719,text,true,,39241,197,254,254,180,0,2
1503756254809,113,HTTP Request,200,,Thread Group 1-727,text,true,,39241,197,253,253,113,0,1
1503756254737,188,HTTP Request,200,,Thread Group 1-852,text,true,,39241,197,252,252,188,0,1
1503756254716,211,HTTP Request,200,,Thread Group 1-844,text,true,,39241,197,251,251,211,0,8
1503756254817,111,HTTP Request,200,,Thread Group 1-732,text,true,,39241,197,250,250,110,0,1
1503756254702,227,HTTP Request,200,,Thread Group 1-710,text,true,,39241,197,250,250,226,0,1
1503756254821,110,HTTP Request,200,,Thread Group 1-738,text,true,,39241,197,248,248,110,0,0
1503756254805,126,HTTP Request,200,,Thread Group 1-720,text,true,,39241,197,248,248,126,0,0
1503756254742,191,HTTP Request,200,,Thread Group 1-714,text,true,,39241,197,241,241,191,0,21
1503756254773,160,HTTP Request,200,,Thread Group 1-716,text,true,,39241,197,241,241,160,0,0
1503756254806,130,HTTP Request,200,,Thread Group 1-864,text,true,,39241,197,240,240,129,0,1
1503756254834,103,HTTP Request,200,,Thread Group 1-760,text,true,,39241,197,239,239,103,0,1
1503756254850,89,HTTP Request,200,,Thread Group 1-822,text,true,,39241,197,238,238,88,0,1
1503756254862,78,HTTP Request,200,,Thread Group 1-834,text,true,,39241,197,237,237,77,0,1
1503756254838,102,HTTP Request,200,,Thread Group 1-752,text,true,,39241,197,237,237,101,0,1
1503756254823,117,HTTP Request,200,,Thread Group 1-761,text,true,,39241,197,237,237,116,0,1
1503756254828,112,HTTP Request,200,,Thread Group 1-737,text,true,,39241,197,235,235,112,0,1
1503756254827,114,HTTP Request,200,,Thread Group 1-733,text,true,,39241,197,234,234,114,0,0
1503756254846,97,HTTP Request,200,,Thread Group 1-818,text,true,,39241,197,234,234,97,0,1
1503756254843,100,HTTP Request,200,,Thread Group 1-853,text,true,,39241,197,234,234,100,0,1
1503756254816,129,HTTP Request,200,,Thread Group 1-721,text,true,,39241,197,233,233,128,0,1
1503756254854,91,HTTP Request,200,,Thread Group 1-826,text,true,,39241,197,232,232,91,0,1
